NOC,Total,Gold
AFG,0.0,0.0
AHO,0.0,0.0
AIN,6.0,1.0
ALB,2.0,0.0
ALG,3.0,2.0
AND,0.0,0.0
ANG,0.0,0.0
ANT,0.0,0.0
ANZ,0.0,0.0
ARG,3.0,1.0
ARM,4.0,0.0
ARU,0.0,0.0
ASA,0.0,0.0
AUS,53.0,18.0
AUT,5.0,2.0
AZE,7.0,2.0
BAH,0.0,0.0
BAN,0.0,0.0
BAR,0.0,0.0
BDI,0.0,0.0
BEL,10.0,3.0
BEN,0.0,0.0
BER,0.0,0.0
BHU,0.0,0.0
BIH,0.0,0.0
BIZ,0.0,0.0
BLR,0.0,0.0
BOH,0.0,0.0
BOL,0.0,0.0
BOT,2.0,1.0
BRA,20.0,3.0
BRN,4.0,2.0
BRU,0.0,0.0
BUL,7.0,3.0
BUR,0.0,0.0
CAF,0.0,0.0
CAM,0.0,0.0
CAN,27.0,9.0
CAY,0.0,0.0
CGO,0.0,0.0
CHA,0.0,0.0
CHI,2.0,1.0
CHN,91.0,40.0
CIV,1.0,0.0
CMR,0.0,0.0
COD,0.0,0.0
COK,0.0,0.0
COL,4.0,0.0
COM,0.0,0.0
CPV,1.0,0.0
CRC,0.0,0.0
CRO,7.0,2.0
CRT,0.0,0.0
CUB,9.0,2.0
CYP,1.0,0.0
CZE,5.0,3.0
DEN,9.0,2.0
DJI,0.0,0.0
DMA,1.0,1.0
DOM,3.0,1.0
ECU,5.0,1.0
EGY,3.0,1.0
EOR,1.0,0.0
ERI,0.0,0.0
ESA,0.0,0.0
ESP,18.0,5.0
EST,0.0,0.0
ETH,4.0,1.0
EUN,0.0,0.0
FIJ,1.0,0.0
FIN,0.0,0.0
FRA,64.0,16.0
FRG,0.0,0.0
FSM,0.0,0.0
GAB,0.0,0.0
GAM,0.0,0.0
GBR,65.0,14.0
GBS,0.0,0.0
GDR,0.0,0.0
GEO,7.0,3.0
GEQ,0.0,0.0
GER,33.0,12.0
GHA,0.0,0.0
GRE,8.0,1.0
GRN,2.0,0.0
GUA,2.0,1.0
GUI,0.0,0.0
GUM,0.0,0.0
GUY,0.0,0.0
HAI,0.0,0.0
HKG,4.0,2.0
HON,0.0,0.0
HUN,19.0,6.0
INA,3.0,2.0
IND,6.0,0.0
IOA,0.0,0.0
IRI,12.0,3.0
IRL,7.0,4.0
IRQ,0.0,0.0
ISL,0.0,0.0
ISR,7.0,1.0
ISV,0.0,0.0
ITA,40.0,12.0
IVB,0.0,0.0
JAM,6.0,1.0
JOR,1.0,0.0
JPN,45.0,20.0
KAZ,7.0,1.0
KEN,11.0,4.0
KGZ,6.0,0.0
KIR,0.0,0.0
KOR,32.0,13.0
KOS,2.0,0.0
KSA,0.0,0.0
KUW,0.0,0.0
LAO,0.0,0.0
LAT,0.0,0.0
LBA,0.0,0.0
LBN,0.0,0.0
LBR,0.0,0.0
LCA,2.0,1.0
LES,0.0,0.0
LIB,0.0,0.0
LIE,0.0,0.0
LTU,4.0,0.0
LUX,0.0,0.0
MAD,0.0,0.0
MAL,0.0,0.0
MAR,2.0,1.0
MAS,2.0,0.0
MAW,0.0,0.0
MDA,4.0,0.0
MDV,0.0,0.0
MEX,5.0,0.0
MGL,1.0,0.0
MHL,0.0,0.0
MKD,0.0,0.0
MLI,0.0,0.0
MLT,0.0,0.0
MNE,0.0,0.0
MON,0.0,0.0
MOZ,0.0,0.0
MRI,0.0,0.0
MTN,0.0,0.0
MYA,0.0,0.0
NAM,0.0,0.0
NBO,0.0,0.0
NCA,0.0,0.0
NED,34.0,15.0
NEP,0.0,0.0
NFL,0.0,0.0
NGR,0.0,0.0
NIG,0.0,0.0
NOR,8.0,4.0
NRU,0.0,0.0
NZL,20.0,10.0
OMA,0.0,0.0
PAK,1.0,1.0
PAN,1.0,0.0
PAR,0.0,0.0
PER,1.0,0.0
PHI,4.0,2.0
PLE,0.0,0.0
PLW,0.0,0.0
PNG,0.0,0.0
POL,10.0,1.0
POR,4.0,1.0
PRK,6.0,0.0
PUR,2.0,0.0
QAT,1.0,0.0
RHO,0.0,0.0
ROC,0.0,0.0
ROT,0.0,0.0
ROU,9.0,3.0
RSA,6.0,1.0
RUS,0.0,0.0
RWA,0.0,0.0
SAA,0.0,0.0
SAM,0.0,0.0
SCG,0.0,0.0
SEN,0.0,0.0
SEY,0.0,0.0
SGP,1.0,0.0
SKN,0.0,0.0
SLE,0.0,0.0
SLO,3.0,2.0
SMR,0.0,0.0
SOL,0.0,0.0
SOM,0.0,0.0
SRB,5.0,3.0
SRI,0.0,0.0
SSD,0.0,0.0
STP,0.0,0.0
SUD,0.0,0.0
SUI,8.0,1.0
SUR,0.0,0.0
SVK,1.0,0.0
SWE,11.0,4.0
SWZ,0.0,0.0
SYR,0.0,0.0
TAN,0.0,0.0
TCH,0.0,0.0
TGA,0.0,0.0
THA,6.0,1.0
TJK,3.0,0.0
TKM,0.0,0.0
TLS,0.0,0.0
TOG,0.0,0.0
TPE,7.0,2.0
TTO,0.0,0.0
TUN,3.0,1.0
TUR,8.0,0.0
TUV,0.0,0.0
UAE,0.0,0.0
UAR,0.0,0.0
UGA,2.0,1.0
UKR,12.0,3.0
UNK,0.0,0.0
URS,0.0,0.0
URU,0.0,0.0
USA,113.0,39.0
UZB,5.0,3.0
VAN,0.0,0.0
VEN,4.0,1.0
VIE,0.0,0.0
VIN,0.0,0.0
VNM,0.0,0.0
WIF,0.0,0.0
YAR,0.0,0.0
YEM,0.0,0.0
YMD,0.0,0.0
YUG,0.0,0.0
ZAM,1.0,0.0
ZIM,0.0,0.0
