Rank,NOC,Gold,Silver,Bronze,Total,Year,Participants,host_flag
1,USA,11,7,2,20,1896,27,0
2,GRC,10,18,19,47,1896,148,1
3,DEU,6,5,2,13,1896,94,0
4,FRA,5,4,2,11,1896,26,0
5,GBR,2,3,2,7,1896,25,0
6,HUN,2,1,3,6,1896,18,0
7,AUT,2,1,2,5,1896,8,0
8,AUS,2,0,0,2,1896,5,0
9,DNK,1,2,3,6,1896,15,0
10,CHE,1,2,0,3,1896,8,0
1,FRA,27,39,37,103,1900,1071,1
2,USA,19,14,15,48,1900,135,0
3,GBR,15,7,9,31,1900,146,0
5,BEL,6,7,4,17,1900,100,0
6,CHE,6,2,1,9,1900,52,0
7,DEU,4,3,2,9,1900,103,0
8,ITA,3,2,0,5,1900,36,0
9,AUS,2,0,3,5,1900,6,0
10,DNK,1,3,2,6,1900,36,0
11,HUN,1,2,2,5,1900,34,0
12,CUB,1,1,0,2,1900,2,0
13,CAN,1,0,1,2,1900,7,0
14,ESP,1,0,0,1,1900,12,0
14,LUX,1,0,0,1,1900,1,0
16,AUT,0,3,3,6,1900,26,0
17,NOR,0,2,3,5,1900,29,0
17,NLD,0,2,3,5,1900,73,0
19,IND,0,2,0,2,1900,5,0
21,SWE,0,0,1,1,1900,27,0
1,USA,76,78,77,231,1904,1109,1
2,DEU,4,5,6,15,1904,55,0
3,CAN,4,1,1,6,1904,61,0
4,CUB,3,0,0,3,1904,6,0
5,HUN,2,1,1,4,1904,9,0
7,NOR,2,0,0,2,1904,6,0
8,AUT,1,1,1,3,1904,7,0
9,GBR,1,1,0,2,1904,6,0
10,CHE,1,0,2,3,1904,7,0
11,GRC,1,0,1,2,1904,17,0
12,AUS,0,3,1,4,1904,6,0
13,FRA,0,1,0,1,1904,2,0
1,GBR,56,51,39,146,1908,972,1
2,USA,23,12,12,47,1908,219,0
3,SWE,8,6,11,25,1908,276,0
4,FRA,5,5,9,19,1908,319,0
5,DEU,3,5,5,13,1908,148,0
6,HUN,3,4,2,9,1908,107,0
7,CAN,3,3,10,16,1908,148,0
8,NOR,2,3,3,8,1908,103,0
9,ITA,2,2,0,4,1908,97,0
10,BEL,1,5,2,8,1908,99,0
11,AUS,1,2,2,5,1908,3,0
12,RUS,1,2,0,3,1908,7,0
13,FIN,1,1,3,5,1908,94,0
14,ZAF,1,1,0,2,1908,33,0
15,GRC,0,3,1,4,1908,49,0
16,DNK,0,2,3,5,1908,107,0
17,NLD,0,0,2,2,1908,218,0
19,AUT,0,0,1,1,1908,13,0
1,USA,26,19,19,64,1912,364,0
2,SWE,23,25,17,65,1912,714,1
3,GBR,10,15,16,41,1912,461,0
4,FIN,9,8,9,26,1912,233,0
5,FRA,7,4,3,14,1912,232,0
6,DEU,5,13,7,25,1912,312,0
7,ZAF,4,2,0,6,1912,56,0
8,NOR,3,2,5,10,1912,263,0
9,CAN,3,2,3,8,1912,60,0
9,HUN,3,2,3,8,1912,207,0
11,ITA,3,1,2,6,1912,96,0
12,AUS,2,2,3,7,1912,35,0
