Rank,NOC,Gold,Silver,Bronze,Total,Year,Participants
1,USA,11,7,2,20,1896,16
2,GRC,10,18,19,47,1896,25
3,DEU,6,5,2,13,1896,12
4,FRA,5,4,2,11,1896,16
5,GBR,2,3,2,7,1896,8
6,HUN,2,1,3,6,1896,5
7,AUT,2,1,2,5,1896,8
8,AUS,2,0,0,2,1896,11
9,DNK,1,2,3,6,1896,5
10,CHE,1,2,0,3,1896,2
1,FRA,27,39,37,103,1900,4
2,USA,19,14,15,48,1900,6
3,GBR,15,7,9,31,1900,3
5,BEL,6,7,4,17,1900,7
6,CHE,6,2,1,9,1900,11
7,DEU,4,3,2,9,1900,5
8,ITA,3,2,0,5,1900,4
9,AUS,2,0,3,5,1900,5
10,DNK,1,3,2,6,1900,2
11,HUN,1,2,2,5,1900,4
12,CUB,1,1,0,2,1900,13
13,CAN,1,0,1,2,1900,4
14,ESP,1,0,0,1,1900,4
14,LUX,1,0,0,1,1900,7
16,AUT,0,3,3,6,1900,8
17,NOR,0,2,3,5,1900,3
17,NLD,0,2,3,5,1900,4
19,IND,0,2,0,2,1900,46
21,SWE,0,0,1,1,1900,9
1,USA,76,78,77,231,1904,9
2,DEU,4,5,6,15,1904,5
3,CAN,4,1,1,6,1904,7
4,CUB,3,0,0,3,1904,12
5,HUN,2,1,1,4,1904,10
7,NOR,2,0,0,2,1904,10
8,AUT,1,1,1,3,1904,9
9,GBR,1,1,0,2,1904,7
10,CHE,1,0,2,3,1904,9
11,GRC,1,0,1,2,1904,7
12,AUS,0,3,1,4,1904,63
13,FRA,0,1,0,1,1904,33
1,GBR,56,51,39,146,1908,45
2,USA,23,12,12,47,1908,36
3,SWE,8,6,11,25,1908,47
4,FRA,5,5,9,19,1908,51
5,DEU,3,5,5,13,1908,71
6,HUN,3,4,2,9,1908,57
7,CAN,3,3,10,16,1908,39
8,NOR,2,3,3,8,1908,74
9,ITA,2,2,0,4,1908,45
10,BEL,1,5,2,8,1908,55
11,AUS,1,2,2,5,1908,3
12,RUS,1,2,0,3,1908,2
13,FIN,1,1,3,5,1908,2
14,ZAF,1,1,0,2,1908,4
15,GRC,0,3,1,4,1908,8
16,DNK,0,2,3,5,1908,8
17,NLD,0,0,2,2,1908,6
19,AUT,0,0,1,1,1908,5
1,USA,26,19,19,64,1912,6
2,SWE,23,25,17,65,1912,4
3,GBR,10,15,16,41,1912,3
4,FIN,9,8,9,26,1912,4
5,FRA,7,4,3,14,1912,17
6,DEU,5,13,7,25,1912,33
7,ZAF,4,2,0,6,1912,33
8,NOR,3,2,5,10,1912,30
9,CAN,3,2,3,8,1912,30
9,HUN,3,2,3,8,1912,30
11,ITA,3,1,2,6,1912,33
12,AUS,2,2,3,7,1912,35
13,BEL,2,1,3,6,1912,26
14,DNK,1,6,5,12,1912,20
15,GRC,1,0,1,2,1912,26
16,RUS,0,2,3,5,1912,17
17,AUT,0,2,2,4,1912,27
18,NLD,0,0,3,3,1912,25
1,USA,41,27,27,95,1920,18
2,SWE,19,20,25,64,1920,19
3,FIN,15,10,9,34,1920,4
4,GBR,14,15,13,42,1920,5
5,BEL,14,11,11,36,1920,5
6,NOR,13,9,9,31,1920,4
7,ITA,13,5,5,23,1920,9
8,FRA,9,19,13,41,1920,6
9,NLD,4,2,5,11,1920,5
10,DNK,3,9,1,13,1920,48
11,ZAF,3,4,3,10,1920,38
12,CAN,3,3,3,9,1920,1
13,CHE,2,2,7,11,1920,1
14,EST,1,2,0,3,1920,1
15,BRA,1,1,1,3,1920,109
16,AUS,0,2,1,3,1920,98
17,JPN,0,2,0,2,1920,47
17,ESP,0,2,0,2,1920,68
19,GRC,0,1,0,1,1920,295
19,LUX,0,1,0,1,1920,174
22,NZL,0,0,1,1,1920,116
1,USA,45,27,27,99,1924,148
2,FIN,14,13,10,37,1924,132
3,FRA,13,15,10,38,1924,123
4,GBR,9,13,12,34,1924,106
5,ITA,8,3,5,16,1924,115
6,CHE,7,8,10,25,1924,134
7,NOR,5,2,3,10,1924,111
8,SWE,4,13,12,29,1924,221
9,NLD,4,1,5,10,1924,165
10,BEL,3,7,3,13,1924,179
11,AUS,3,1,2,6,1924,145
12,DNK,2,5,2,9,1924,148
13,HUN,2,3,4,9,1924,232
14,YUG,2,0,0,2,1924,208
16,ARG,1,3,2,6,1924,38
17,EST,1,1,4,6,1924,26
18,ZAF,1,1,1,3,1924,19
19,URY,1,0,0,1,1924,26
20,AUT,0,3,1,4,1924,31
20,CAN,0,3,1,4,1924,34
22,POL,0,1,1,2,1924,19
23,HTI,0,0,1,1,1924,17
23,JPN,0,0,1,1,1924,12
23,NZL,0,0,1,1,1924,5
23,PRT,0,0,1,1,1924,3
23,ROU,0,0,1,1,1924,5
1,USA,22,18,16,56,1928,4
2,DEU,10,7,14,31,1928,2
3,FIN,8,8,9,25,1928,4
4,SWE,7,6,12,25,1928,7
5,ITA,7,5,7,19,1928,4
6,CHE,7,4,4,15,1928,7
7,FRA,6,10,5,21,1928,6
8,NLD,6,9,4,19,1928,3
9,HUN,4,5,0,9,1928,7
10,CAN,4,4,7,15,1928,4
11,GBR,3,10,7,20,1928,3
12,ARG,3,3,1,7,1928,4
13,DNK,3,1,2,6,1928,4
15,JPN,2,2,1,5,1928,6
16,EST,2,1,2,5,1928,2
17,EGY,2,1,1,4,1928,5
18,AUT,2,0,1,3,1928,6
19,AUS,1,2,1,4,1928,6
19,NOR,1,2,1,4,1928,10
21,POL,1,1,3,5,1928,29
21,YUG,1,1,3,5,1928,60
23,ZAF,1,0,2,3,1928,29
24,IND,1,0,0,1,1928,20
24,IRL,1,0,0,1,1928,39
24,NZL,1,0,0,1,1928,103
24,ESP,1,0,0,1,1928,140
24,URY,1,0,0,1,1928,412
29,BEL,0,1,2,3,1928,280
30,CHL,0,1,0,1,1928,392
30,HTI,0,1,0,1,1928,224
32,PHL,0,0,1,1,1928,266
32,PRT,0,0,1,1,1928,274
1,USA,44,36,30,110,1932,190
2,ITA,12,12,12,36,1932,337
3,FRA,11,5,4,20,1932,339
4,SWE,10,5,9,24,1932,390
5,JPN,7,7,4,18,1932,550
6,HUN,6,5,5,16,1932,788
7,DEU,5,12,7,24,1932,601
8,FIN,5,8,12,25,1932,570
9,GBR,5,7,5,17,1932,514
10,POL,3,2,4,9,1932,518
11,AUS,3,1,1,5,1932,638
12,ARG,3,1,0,4,1932,649
13,CAN,2,5,9,16,1932,8
14,NLD,2,5,1,8,1932,26
15,ZAF,2,0,3,5,1932,7
16,IRL,2,0,0,2,1932,100
18,AUT,1,1,3,5,1932,132
19,IND,1,0,0,1,1932,56
20,DNK,0,5,3,8,1932,113
21,MEX,0,2,0,2,1932,33
22,LVA,0,1,0,1,1932,363
22,NZL,0,1,0,1,1932,239
22,CHE,0,1,0,1,1932,238
25,PHL,0,0,3,3,1932,57
26,BEL,0,0,1,1,1932,198
26,ESP,0,0,1,1,1932,82
26,URY,0,0,1,1,1932,59
1,DEU,38,31,32,101,1936,143
2,USA,24,21,12,57,1936,73
3,HUN,10,1,5,16,1936,92
4,ITA,9,13,5,27,1936,130
5,FIN,8,6,6,20,1936,96
6,FRA,7,6,6,19,1936,127
7,SWE,6,5,10,21,1936,92
8,JPN,6,4,10,20,1936,114
9,NLD,6,4,7,17,1936,92
10,AUT,5,7,5,17,1936,93
11,CHE,4,9,5,18,1936,90
12,GBR,4,7,3,14,1936,85
14,ARG,2,2,3,7,1936,121
14,EST,2,2,3,7,1936,24
16,EGY,2,1,2,5,1936,32
17,CAN,1,3,5,9,1936,37
18,NOR,1,3,2,6,1936,44
19,TUR,1,0,1,2,1936,59
20,IND,1,0,0,1,1936,69
20,NZL,1,0,0,1,1936,55
22,POL,0,4,5,9,1936,49
23,DNK,0,2,3,5,1936,7
24,LVA,0,1,1,2,1936,5
25,ROU,0,1,0,1,1936,14
25,ZAF,0,1,0,1,1936,12
25,YUG,0,1,0,1,1936,22
28,BEL,0,0,3,3,1936,25
28,MEX,0,0,3,3,1936,19
30,AUS,0,0,1,1,1936,31
30,PHL,0,0,1,1,1936,18
30,PRT,0,0,1,1,1936,18
