Rank,NOC,Gold,Silver,Bronze,Total,Year,Participants,host_flag
1,USA,11,7,2,20,1896,16,0
2,GRC,10,18,19,47,1896,25,1
3,DEU,6,5,2,13,1896,12,0
4,FRA,5,4,2,11,1896,16,0
5,GBR,2,3,2,7,1896,8,0
6,HUN,2,1,3,6,1896,5,0
7,AUT,2,1,2,5,1896,8,0
8,AUS,2,0,0,2,1896,11,0
9,DNK,1,2,3,6,1896,5,0
10,CHE,1,2,0,3,1896,2,0
1,FRA,27,39,37,103,1900,4,1
2,USA,19,14,15,48,1900,6,0
3,GBR,15,7,9,31,1900,3,0
5,BEL,6,7,4,17,1900,7,0
6,CHE,6,2,1,9,1900,11,0
7,DEU,4,3,2,9,1900,5,0
8,ITA,3,2,0,5,1900,4,0
9,AUS,2,0,3,5,1900,5,0
10,DNK,1,3,2,6,1900,2,0
11,HUN,1,2,2,5,1900,4,0
12,CUB,1,1,0,2,1900,13,0
13,CAN,1,0,1,2,1900,4,0
14,ESP,1,0,0,1,1900,4,0
14,LUX,1,0,0,1,1900,7,0
16,AUT,0,3,3,6,1900,8,0
17,NOR,0,2,3,5,1900,3,0
17,NLD,0,2,3,5,1900,4,0
19,IND,0,2,0,2,1900,46,0
21,SWE,0,0,1,1,1900,9,0
1,USA,76,78,77,231,1904,9,1
2,DEU,4,5,6,15,1904,5,0
3,CAN,4,1,1,6,1904,7,0
4,CUB,3,0,0,3,1904,12,0
5,HUN,2,1,1,4,1904,10,0
7,NOR,2,0,0,2,1904,10,0
8,AUT,1,1,1,3,1904,9,0
9,GBR,1,1,0,2,1904,7,0
10,CHE,1,0,2,3,1904,9,0
11,GRC,1,0,1,2,1904,7,0
12,AUS,0,3,1,4,1904,63,0
13,FRA,0,1,0,1,1904,33,0
1,GBR,56,51,39,146,1908,45,1
2,USA,23,12,12,47,1908,36,0
3,SWE,8,6,11,25,1908,47,0
4,FRA,5,5,9,19,1908,51,0
5,DEU,3,5,5,13,1908,71,0
6,HUN,3,4,2,9,1908,57,0
7,CAN,3,3,10,16,1908,39,0
8,NOR,2,3,3,8,1908,74,0
9,ITA,2,2,0,4,1908,45,0
10,BEL,1,5,2,8,1908,55,0
11,AUS,1,2,2,5,1908,3,0
12,RUS,1,2,0,3,1908,2,0
13,FIN,1,1,3,5,1908,2,0
14,ZAF,1,1,0,2,1908,4,0
15,GRC,0,3,1,4,1908,8,0
16,DNK,0,2,3,5,1908,8,0
17,NLD,0,0,2,2,1908,6,0
19,AUT,0,0,1,1,1908,5,0
1,USA,26,19,19,64,1912,6,0
2,SWE,23,25,17,65,1912,4,1
3,GBR,10,15,16,41,1912,3,0
4,FIN,9,8,9,26,1912,4,0
5,FRA,7,4,3,14,1912,17,0
6,DEU,5,13,7,25,1912,33,0
7,ZAF,4,2,0,6,1912,33,0
8,NOR,3,2,5,10,1912,30,0
9,CAN,3,2,3,8,1912,30,0
9,HUN,3,2,3,8,1912,30,0
11,ITA,3,1,2,6,1912,33,0
12,AUS,2,2,3,7,1912,35,0
13,BEL,2,1,3,6,1912,26,0
14,DNK,1,6,5,12,1912,20,0
15,GRC,1,0,1,2,1912,26,0
16,RUS,0,2,3,5,1912,17,0
17,AUT,0,2,2,4,1912,27,0
18,NLD,0,0,3,3,1912,25,0
1,USA,41,27,27,95,1920,18,0
2,SWE,19,20,25,64,1920,19,0
3,FIN,15,10,9,34,1920,4,0
4,GBR,14,15,13,42,1920,5,0
5,BEL,14,11,11,36,1920,5,1
6,NOR,13,9,9,31,1920,4,0
7,ITA,13,5,5,23,1920,9,0
8,FRA,9,19,13,41,1920,6,0
9,NLD,4,2,5,11,1920,5,0
10,DNK,3,9,1,13,1920,48,0
11,ZAF,3,4,3,10,1920,38,0
12,CAN,3,3,3,9,1920,1,0
13,CHE,2,2,7,11,1920,1,0
14,EST,1,2,0,3,1920,1,0
15,BRA,1,1,1,3,1920,109,0
16,AUS,0,2,1,3,1920,98,0
17,JPN,0,2,0,2,1920,47,0
17,ESP,0,2,0,2,1920,68,0
19,GRC,0,1,0,1,1920,295,0
19,LUX,0,1,0,1,1920,174,0
22,NZL,0,0,1,1,1920,116,0
1,USA,45,27,27,99,1924,148,0
2,FIN,14,13,10,37,1924,132,0
3,FRA,13,15,10,38,1924,123,1
4,GBR,9,13,12,34,1924,106,0
5,ITA,8,3,5,16,1924,115,0
6,CHE,7,8,10,25,1924,134,0
7,NOR,5,2,3,10,1924,111,0
8,SWE,4,13,12,29,1924,221,0
9,NLD,4,1,5,10,1924,165,0
10,BEL,3,7,3,13,1924,179,0
11,AUS,3,1,2,6,1924,145,0
12,DNK,2,5,2,9,1924,148,0
13,HUN,2,3,4,9,1924,232,0
14,YUG,2,0,0,2,1924,208,0
16,ARG,1,3,2,6,1924,38,0
17,EST,1,1,4,6,1924,26,0
18,ZAF,1,1,1,3,1924,19,0
19,URY,1,0,0,1,1924,26,0
20,AUT,0,3,1,4,1924,31,0
20,CAN,0,3,1,4,1924,34,0
22,POL,0,1,1,2,1924,19,0
23,HTI,0,0,1,1,1924,17,0
23,JPN,0,0,1,1,1924,12,0
23,NZL,0,0,1,1,1924,5,0
23,PRT,0,0,1,1,1924,3,0
23,ROU,0,0,1,1,1924,5,0
1,USA,22,18,16,56,1928,4,0
2,DEU,10,7,14,31,1928,2,0
3,FIN,8,8,9,25,1928,4,0
4,SWE,7,6,12,25,1928,7,0
5,ITA,7,5,7,19,1928,4,0
6,CHE,7,4,4,15,1928,7,0
7,FRA,6,10,5,21,1928,6,0
8,NLD,6,9,4,19,1928,3,1
9,HUN,4,5,0,9,1928,7,0
10,CAN,4,4,7,15,1928,4,0
11,GBR,3,10,7,20,1928,3,0
12,ARG,3,3,1,7,1928,4,0
13,DNK,3,1,2,6,1928,4,0
15,JPN,2,2,1,5,1928,6,0
16,EST,2,1,2,5,1928,2,0
17,EGY,2,1,1,4,1928,5,0
18,AUT,2,0,1,3,1928,6,0
19,AUS,1,2,1,4,1928,6,0
19,NOR,1,2,1,4,1928,10,0
21,POL,1,1,3,5,1928,29,0
21,YUG,1,1,3,5,1928,60,0
23,ZAF,1,0,2,3,1928,29,0
24,IND,1,0,0,1,1928,20,0
24,IRL,1,0,0,1,1928,39,0
