NOC,Year,Bronze,Gold,Silver,Participants,Events,is_host,Total
AFG,1896,0,0,0,0,0,0,0
AFG,1900,0,0,0,0,0,0,0
AFG,1904,0,0,0,0,0,0,0
AFG,1908,0,0,0,0,0,0,0
AFG,1912,0,0,0,0,0,0,0
AFG,1916,0,0,0,0,0,0,0
AFG,1920,0,0,0,0,0,0,0
AFG,1924,0,0,0,0,0,0,0
AFG,1928,0,0,0,0,0,0,0
AFG,1932,0,0,0,0,0,0,0
AFG,1936,0,0,0,16,2,0,0
AFG,1940,0,0,0,0,0,0,0
AFG,1944,0,0,0,0,0,0,0
AFG,1948,0,0,0,25,2,0,0
AFG,1952,0,0,0,0,0,0,0
AFG,1956,0,0,0,12,1,0,0
AFG,1960,0,0,0,16,2,0,0
AFG,1964,0,0,0,8,1,0,0
AFG,1968,0,0,0,5,1,0,0
AFG,1972,0,0,0,8,1,0,0
AFG,1976,0,0,0,0,0,0,0
AFG,1980,0,0,0,11,2,0,0
AFG,1984,0,0,0,0,0,0,0
AFG,1988,0,0,0,5,1,0,0
AFG,1992,0,0,0,0,0,0,0
AFG,1996,0,0,0,2,1,0,0
AFG,2000,0,0,0,0,0,0,0
AFG,2004,0,0,0,5,4,0,0
AFG,2008,1,0,0,4,2,0,1
AFG,2012,1,0,0,6,4,0,1
AFG,2016,0,0,0,3,2,0,0
AFG,2020,0,0,0,5,4,0,0
AFG,2024,0,0,0,7,4,0,0
AHO,1896,0,0,0,0,0,0,0
AHO,1900,0,0,0,0,0,0,0
AHO,1904,0,0,0,0,0,0,0
AHO,1908,0,0,0,0,0,0,0
AHO,1912,0,0,0,0,0,0,0
AHO,1916,0,0,0,0,0,0,0
AHO,1920,0,0,0,0,0,0,0
AHO,1924,0,0,0,0,0,0,0
AHO,1928,0,0,0,0,0,0,0
AHO,1932,0,0,0,0,0,0,0
AHO,1936,0,0,0,0,0,0,0
AHO,1940,0,0,0,0,0,0,0
AHO,1944,0,0,0,0,0,0,0
AHO,1948,0,0,0,0,0,0,0
AHO,1952,0,0,0,11,1,0,0
AHO,1956,0,0,0,0,0,0,0
AHO,1960,0,0,0,5,1,0,0
AHO,1964,0,0,0,4,2,0,0
AHO,1968,0,0,0,5,2,0,0
AHO,1972,0,0,0,2,2,0,0
AHO,1976,0,0,0,4,2,0,0
AHO,1980,0,0,0,0,0,0,0
AHO,1984,0,0,0,13,3,0,0
AHO,1988,0,0,1,4,3,0,1
AHO,1992,0,0,0,4,3,0,0
AHO,1996,0,0,0,7,5,0,0
AHO,2000,0,0,0,8,6,0,0
AHO,2004,0,0,0,3,2,0,0
AHO,2008,0,0,0,4,3,0,0
AHO,2012,0,0,0,0,0,0,0
AHO,2016,0,0,0,0,0,0,0
AHO,2020,0,0,0,0,0,0,0
AHO,2024,0,0,0,0,0,0,0
AIN,1896,0,0,0,0,0,0,0
AIN,1900,0,0,0,0,0,0,0
AIN,1904,0,0,0,0,0,0,0
AIN,1908,0,0,0,0,0,0,0
AIN,1912,0,0,0,0,0,0,0
AIN,1916,0,0,0,0,0,0,0
AIN,1920,0,0,0,0,0,0,0
AIN,1924,0,0,0,0,0,0,0
AIN,1928,0,0,0,0,0,0,0
AIN,1932,0,0,0,0,0,0,0
AIN,1936,0,0,0,0,0,0,0
AIN,1940,0,0,0,0,0,0,0
AIN,1944,0,0,0,0,0,0,0
AIN,1948,0,0,0,0,0,0,0
AIN,1952,0,0,0,0,0,0,0
AIN,1956,0,0,0,0,0,0,0
AIN,1960,0,0,0,0,0,0,0
AIN,1964,0,0,0,0,0,0,0
AIN,1968,0,0,0,0,0,0,0
AIN,1972,0,0,0,0,0,0,0
AIN,1976,0,0,0,0,0,0,0
AIN,1980,0,0,0,0,0,0,0
AIN,1984,0,0,0,0,0,0,0
AIN,1988,0,0,0,0,0,0,0
AIN,1992,0,0,0,0,0,0,0
AIN,1996,0,0,0,0,0,0,0
AIN,2000,0,0,0,0,0,0,0
AIN,2004,0,0,0,0,0,0,0
AIN,2008,0,0,0,0,0,0,0
AIN,2012,0,0,0,0,0,0,0
AIN,2016,0,0,0,0,0,0,0
AIN,2020,0,0,0,0,0,0,0
AIN,2024,1,1,4,46,10,0,6
ALB,1896,0,0,0,0,0,0,0
ALB,1900,0,0,0,0,0,0,0
ALB,1904,0,0,0,0,0,0,0
ALB,1908,0,0,0,0,0,0,0
ALB,1912,0,0,0,0,0,0,0
ALB,1916,0,0,0,0,0,0,0
ALB,1920,0,0,0,0,0,0,0
ALB,1924,0,0,0,0,0,0,0
ALB,1928,0,0,0,0,0,0,0
ALB,1932,0,0,0,0,0,0,0
ALB,1936,0,0,0,0,0,0,0
ALB,1940,0,0,0,0,0,0,0
ALB,1944,0,0,0,0,0,0,0
ALB,1948,0,0,0,0,0,0,0
ALB,1952,0,0,0,0,0,0,0
ALB,1956,0,0,0,0,0,0,0
ALB,1960,0,0,0,0,0,0,0
ALB,1964,0,0,0,0,0,0,0
ALB,1968,0,0,0,0,0,0,0
ALB,1972,0,0,0,5,2,0,0
ALB,1976,0,0,0,0,0,0,0
ALB,1980,0,0,0,0,0,0,0
ALB,1984,0,0,0,0,0,0,0
ALB,1988,0,0,0,0,0,0,0
ALB,1992,0,0,0,9,4,0,0
ALB,1996,0,0,0,9,5,0,0
ALB,2000,0,0,0,5,3,0,0
ALB,2004,0,0,0,7,4,0,0
ALB,2008,0,0,0,12,6,0,0
ALB,2012,0,0,0,10,5,0,0
ALB,2016,0,0,0,6,3,0,0
ALB,2020,0,0,0,10,6,0,0
ALB,2024,2,0,0,9,4,0,2
ALG,1896,0,0,0,0,0,0,0
ALG,1900,0,0,0,0,0,0,0
ALG,1904,0,0,0,0,0,0,0
ALG,1908,0,0,0,0,0,0,0
ALG,1912,0,0,0,0,0,0,0
ALG,1916,0,0,0,0,0,0,0
ALG,1920,0,0,0,0,0,0,0
ALG,1924,0,0,0,0,0,0,0
ALG,1928,0,0,0,0,0,0,0
ALG,1932,0,0,0,0,0,0,0
ALG,1936,0,0,0,0,0,0,0
ALG,1940,0,0,0,0,0,0,0
ALG,1944,0,0,0,0,0,0,0
ALG,1948,0,0,0,0,0,0,0
ALG,1952,0,0,0,0,0,0,0
ALG,1956,0,0,0,0,0,0,0
ALG,1960,0,0,0,0,0,0,0
ALG,1964,0,0,0,7,1,0,0
ALG,1968,0,0,0,9,2,0,0
ALG,1972,0,0,0,7,2,0,0
ALG,1976,0,0,0,0,0,0,0
ALG,1980,0,0,0,63,9,0,0
ALG,1984,2,0,0,33,4,0,2
ALG,1988,0,0,0,45,7,0,0
ALG,1992,1,1,0,36,7,0,2
ALG,1996,1,2,0,47,9,0,3
ALG,2000,3,1,1,51,10,0,5
ALG,2004,0,0,0,71,10,0,0
ALG,2008,1,0,1,57,12,0,2
ALG,2012,0,1,0,39,12,0,1
ALG,2016,0,0,2,74,13,0,2
ALG,2020,0,0,0,45,15,0,0
ALG,2024,1,2,0,55,15,0,3
AND,1896,0,0,0,0,0,0,0
AND,1900,0,0,0,0,0,0,0
AND,1904,0,0,0,0,0,0,0
AND,1908,0,0,0,0,0,0,0
AND,1912,0,0,0,0,0,0,0
AND,1916,0,0,0,0,0,0,0
AND,1920,0,0,0,0,0,0,0
AND,1924,0,0,0,0,0,0,0
AND,1928,0,0,0,0,0,0,0
AND,1932,0,0,0,0,0,0,0
AND,1936,0,0,0,0,0,0,0
AND,1940,0,0,0,0,0,0,0
AND,1944,0,0,0,0,0,0,0
AND,1948,0,0,0,0,0,0,0
AND,1952,0,0,0,0,0,0,0
AND,1956,0,0,0,0,0,0,0
AND,1960,0,0,0,0,0,0,0
AND,1964,0,0,0,0,0,0,0
AND,1968,0,0,0,0,0,0,0
AND,1972,0,0,0,0,0,0,0
AND,1976,0,0,0,3,2,0,0
AND,1980,0,0,0,2,1,0,0
AND,1984,0,0,0,2,1,0,0
AND,1988,0,0,0,4,2,0,0
AND,1992,0,0,0,8,5,0,0
AND,1996,0,0,0,8,5,0,0
AND,2000,0,0,0,5,3,0,0
AND,2004,0,0,0,6,4,0,0
AND,2008,0,0,0,5,4,0,0
AND,2012,0,0,0,6,4,0,0
AND,2016,0,0,0,4,4,0,0
AND,2020,0,0,0,3,2,0,0
AND,2024,0,0,0,4,2,0,0
ANG,1896,0,0,0,0,0,0,0
