NOC,Year,Bronze,Gold,No medal,Silver,Participants,Events,is_host
AFG,1936,0,0,16,0,16,2,0
AFG,1948,0,0,25,0,25,2,0
AFG,1956,0,0,12,0,12,1,0
AFG,1960,0,0,16,0,16,2,0
AFG,1964,0,0,8,0,8,1,0
AFG,1968,0,0,5,0,5,1,0
AFG,1972,0,0,8,0,8,1,0
AFG,1980,0,0,11,0,11,2,0
AFG,1988,0,0,5,0,5,1,0
AFG,1996,0,0,2,0,2,1,0
AFG,2004,0,0,5,0,5,4,0
AFG,2008,1,0,3,0,4,2,0
AFG,2012,1,0,5,0,6,4,0
AFG,2016,0,0,3,0,3,2,0
AFG,2020,0,0,5,0,5,4,0
AFG,2024,0,0,7,0,7,4,0
AHO,1952,0,0,11,0,11,1,0
AHO,1960,0,0,5,0,5,1,0
AHO,1964,0,0,4,0,4,2,0
AHO,1968,0,0,5,0,5,2,0
AHO,1972,0,0,2,0,2,2,0
AHO,1976,0,0,4,0,4,2,0
AHO,1984,0,0,13,0,13,3,0
AHO,1988,0,0,3,1,4,3,0
AHO,1992,0,0,4,0,4,3,0
AHO,1996,0,0,7,0,7,5,0
AHO,2000,0,0,8,0,8,6,0
AHO,2004,0,0,3,0,3,2,0
AHO,2008,0,0,4,0,4,3,0
AIN,2024,1,1,40,4,46,10,0
ALB,1972,0,0,5,0,5,2,0
ALB,1992,0,0,9,0,9,4,0
ALB,1996,0,0,9,0,9,5,0
ALB,2000,0,0,5,0,5,3,0
ALB,2004,0,0,7,0,7,4,0
ALB,2008,0,0,12,0,12,6,0
ALB,2012,0,0,10,0,10,5,0
ALB,2016,0,0,6,0,6,3,0
ALB,2020,0,0,10,0,10,6,0
ALB,2024,2,0,7,0,9,4,0
ALG,1964,0,0,7,0,7,1,0
ALG,1968,0,0,9,0,9,2,0
ALG,1972,0,0,7,0,7,2,0
ALG,1980,0,0,63,0,63,9,0
ALG,1984,2,0,31,0,33,4,0
ALG,1988,0,0,45,0,45,7,0
ALG,1992,1,1,34,0,36,7,0
ALG,1996,1,2,44,0,47,9,0
ALG,2000,3,1,46,1,51,10,0
ALG,2004,0,0,71,0,71,10,0
ALG,2008,1,0,55,1,57,12,0
ALG,2012,0,1,38,0,39,12,0
ALG,2016,0,0,72,2,74,13,0
ALG,2020,0,0,45,0,45,15,0
ALG,2024,1,2,52,0,55,15,0
AND,1976,0,0,3,0,3,2,0
AND,1980,0,0,2,0,2,1,0
AND,1984,0,0,2,0,2,1,0
AND,1988,0,0,4,0,4,2,0
AND,1992,0,0,8,0,8,5,0
AND,1996,0,0,8,0,8,5,0
AND,2000,0,0,5,0,5,3,0
AND,2004,0,0,6,0,6,4,0
AND,2008,0,0,5,0,5,4,0
AND,2012,0,0,6,0,6,4,0
AND,2016,0,0,4,0,4,4,0
AND,2020,0,0,3,0,3,2,0
AND,2024,0,0,4,0,4,2,0
ANG,1980,0,0,17,0,17,3,0
ANG,1988,0,0,33,0,33,4,0
ANG,1992,0,0,33,0,33,6,0
ANG,1996,0,0,30,0,30,5,0
ANG,2000,0,0,30,0,30,5,0
ANG,2004,0,0,30,0,30,5,0
ANG,2008,0,0,33,0,33,6,0
ANG,2012,0,0,35,0,35,6,0
ANG,2016,0,0,26,0,26,7,0
ANG,2020,0,0,20,0,20,5,0
ANG,2024,0,0,26,0,26,7,0
ANT,1976,0,0,17,0,17,2,0
ANT,1984,0,0,27,0,27,3,0
ANT,1988,0,0,25,0,25,4,0
ANT,1992,0,0,18,0,18,3,0
ANT,1996,0,0,19,0,19,4,0
ANT,2000,0,0,4,0,4,2,0
ANT,2004,0,0,5,0,5,2,0
ANT,2008,0,0,5,0,5,2,0
ANT,2012,0,0,4,0,4,2,0
ANT,2016,0,0,9,0,9,2,0
ANT,2020,0,0,6,0,6,4,0
ANT,2024,0,0,5,0,5,3,0
ANZ,1908,2,15,29,2,48,6,0
ANZ,1912,3,5,28,2,38,4,0
ARG,1900,0,0,1,0,1,1,0
ARG,1908,0,0,1,0,1,1,0
ARG,1920,0,0,1,0,1,1,0
ARG,1924,2,5,99,3,109,11,0
ARG,1928,5,3,72,18,98,12,0
ARG,1932,0,3,43,1,47,7,0
ARG,1936,4,5,57,2,68,8,0
ARG,1948,1,3,284,7,295,16,0
ARG,1952,2,2,168,2,174,15,0
ARG,1956,1,0,42,1,44,9,0
ARG,1960,1,0,112,3,116,15,0
ARG,1964,0,0,147,1,148,14,0
ARG,1968,2,0,130,0,132,12,0
ARG,1972,0,0,122,1,123,12,0
ARG,1976,0,0,106,0,106,12,0
ARG,1984,0,0,115,0,115,14,0
ARG,1988,12,0,121,1,134,18,0
ARG,1992,2,0,109,0,111,17,0
ARG,1996,1,0,201,19,221,20,0
ARG,2000,3,0,145,17,165,21,0
ARG,2004,21,28,130,0,179,22,0
ARG,2008,31,20,94,0,145,19,0
ARG,2012,3,1,129,15,148,23,0
ARG,2016,0,21,210,1,232,26,0
ARG,2020,25,0,165,18,208,31,0
ARG,2024,16,1,135,2,154,25,0
ARM,1996,0,1,36,1,38,11,0
ARM,2000,1,0,25,0,26,10,0
ARM,2004,0,0,19,0,19,8,0
ARM,2008,6,0,20,0,26,7,0
ARM,2012,2,0,28,1,31,9,0
ARM,2016,0,1,30,3,34,8,0
ARM,2020,2,0,15,2,19,8,0
ARM,2024,1,0,13,3,17,7,0
ARU,1988,0,0,12,0,12,5,0
ARU,1992,0,0,5,0,5,3,0
ARU,1996,0,0,3,0,3,3,0
ARU,2000,0,0,5,0,5,3,0
ARU,2004,0,0,4,0,4,3,0
ARU,2008,0,0,2,0,2,2,0
ARU,2012,0,0,4,0,4,3,0
ARU,2016,0,0,7,0,7,4,0
ARU,2020,0,0,4,0,4,2,0
ARU,2024,0,0,7,0,7,4,0
ASA,1988,0,0,6,0,6,4,0
ASA,1992,0,0,3,0,3,2,0
ASA,1996,0,0,7,0,7,5,0
ASA,2000,0,0,4,0,4,3,0
ASA,2004,0,0,3,0,3,2,0
ASA,2008,0,0,4,0,4,3,0
ASA,2012,0,0,4,0,4,3,0
ASA,2016,0,0,4,0,4,3,0
ASA,2020,0,0,6,0,6,4,0
ASA,2024,0,0,2,0,2,2,0
AUS,1896,1,2,2,0,5,2,0
AUS,1900,3,3,0,0,6,2,0
AUS,1904,1,0,2,3,6,2,0
AUS,1906,3,0,7,0,10,2,0
AUS,1920,1,0,22,6,29,5,0
AUS,1924,2,3,50,5,60,9,0
AUS,1928,1,1,25,2,29,6,0
AUS,1932,1,3,15,1,20,6,0
AUS,1936,1,0,38,0,39,7,0
AUS,1948,5,2,87,9,103,11,0
AUS,1952,11,7,120,2,140,12,0
AUS,1956,26,28,345,13,412,19,1
AUS,1960,11,11,234,24,280,17,0
AUS,1964,30,8,348,6,392,19,0
AUS,1968,11,5,173,35,224,16,0
AUS,1972,2,11,246,7,266,20,0
AUS,1976,8,0,251,15,274,20,0
AUS,1980,5,6,177,2,190,17,0
AUS,1984,31,7,285,14,337,22,0
AUS,1988,11,18,304,6,339,24,0
AUS,1992,16,14,333,27,390,25,0
AUS,1996,84,32,418,16,550,26,0
AUS,2000,54,60,605,69,788,34,1
