NOC,Actual_Total_2024,Predicted_Gold_2024,prop,Real
AFG,0,0,0,0 
AHO,0,0,0,0 
ALB,0,0,0,0 
ALG,2,0.15625,0.000739176,0 
AND,0,0,0,0 
ANG,0,0,0,0 
ANT,0,0,0,0 
ANZ,0,0.035995303,0.000170284,0 
ARG,1,0.681478818,0.003223889,1 
ARM,0,0.0625,0.00029567,0 
ARU,0,0,0,0 
ASA,0,0,0,0 
AUS,18,9.831462389,0.046509954,15 
AUT,2,0.65625,0.003104539,1 
AZE,2,0.21875,0.001034846,0 
BAH,0,0,0,0 
BAN,0,0,0,0 
BAR,0,0,0,0 
BDI,0,0.03125,0.000147835,0 
BEL,3,1.069934946,0.005061569,2 
BEN,0,0,0,0 
BER,0,0.03125,0.000147835,0 
BHU,0,0,0,0 
BIH,0,0,0,0 
BIZ,0,0,0,0 
BLR,0,0.40625,0.001921857,1 
BOH,0,0,0,0 
BOL,0,0,0,0 
BOT,1,0,0,0 
BRA,3,4.996301959,0.023636135,8 
BRN,2,0.0625,0.00029567,0 
BRU,0,0,0,0 
BUL,3,1.478847246,0.006996021,2 
BUR,0,0,0,0 
CAF,0,0,0,0 
CAM,0,0,0,0 
CAN,9,2.21875,0.010496298,3 
CAY,0,0,0,0 
CGO,0,0,0,0 
CHA,0,0,0,0 
CHI,1,0.0625,0.00029567,0 
CHN,40,11.79096248,0.055779812,18 
CIV,0,0.03125,0.000147835,0 
CMR,0,0.09375,0.000443506,0 
COD,0,0,0,0 
COK,0,0,0,0 
COL,0,0.15625,0.000739176,0 
COM,0,0,0,0 
CPV,0,0,0,0 
CRC,0,0.03125,0.000147835,0 
CRO,2,0.4375,0.002069693,1 
CUB,2,5.449549156,0.025780323,8 
CYP,0,0,0,0 
CZE,3,0.59375,0.002808869,1 
DEN,2,1.5,0.007096089,2 
DJI,0,0,0,0 
DMA,1,0,0,0 
DOM,1,0.09375,0.000443506,0 
ECU,1,0.09375,0.000443506,0 
EGY,1,0.25,0.001182681,0 
ERI,0,0,0,0 
ESA,0,0,0,0 
ESP,5,4.323835181,0.020454879,7 
EST,0,0.330847845,0.00156515,1 
ETH,1,3.562820486,0.016854727,5 
EUN,0,2.875,0.013600837,4 
FIJ,0,0.0625,0.00029567,0 
FIN,0,3.1875,0.015079189,5 
FRA,16,7,0.033115081,11 
FRG,0,1.75,0.00827877,3 
FSM,0,0,0,0 
GAB,0,0,0,0 
GAM,0,0,0,0 
GBR,14,8.90625,0.042133028,14 
GBS,0,0,0,0 
GDR,0,4.78125,0.022618783,7 
GEO,3,0.3125,0.001478352,0 
GEQ,0,0,0,0 
GER,12,7.272572625,0.034404548,11 
GHA,0,0,0,0 
GRE,1,1.125,0.005322067,2 
GRN,0,0.03125,0.000147835,0 
GUA,1,0,0,0 
GUI,0,0,0,0 
GUM,0,0,0,0 
GUY,0,0,0,0 
HAI,0,0.03125,0.000147835,0 
HKG,2,0.0625,0.00029567,0 
HON,0,0,0,0 
HUN,6,5.65625,0.026758168,9 
INA,2,0.25,0.001182681,0 
IND,0,0.3125,0.001478352,0 
IOA,0,0.03125,0.000147835,0 
IRI,3,8.548086307,0.040438653,13 
IRL,4,0.34375,0.001626187,1 
IRQ,0,0,0,0 
ISL,0,0,0,0 
ISR,1,0.09375,0.000443506,0 
ISV,0,0,0,0 
ITA,12,6.8125,0.03222807,10 
IVB,0,0,0,0 
JAM,1,4.930148087,0.023323179,8 
JOR,0,0.03125,0.000147835,0 
JPN,20,16.50644318,0.078087458,25 
KAZ,1,0.4375,0.002069693,1 
KEN,4,2.068973772,0.009787748,3 
KGZ,0,0,0,0 
KIR,0,0,0,0 
KOR,13,3.289271394,0.015560641,5 
KOS,0,0.09375,0.000443506,0 
KSA,0,0,0,0 
KUW,0,0,0,0 
LAO,0,0,0,0 
LAT,0,0.125,0.000591341,0 
LBA,0,0,0,0 
LBR,0,0,0,0 
LCA,1,0,0,0 
LES,0,0,0,0 
LIB,0,0,0,0 
LIE,0,0,0,0 
LTU,0,0.1875,0.000887011,0 
LUX,0,0.046926641,0.000221997,0 
MAD,0,0,0,0 
MAL,0,0,0,0 
MAR,1,0.216499384,0.001024199,0 
MAS,0,0,0,0 
MAW,0,0,0,0 
MDA,0,0,0,0 
MDV,0,0,0,0 
MEX,0,0.40625,0.001921857,1 
MGL,0,0.0625,0.00029567,0 
MHL,0,0,0,0 
MKD,0,0,0,0 
MLI,0,0,0,0 
MLT,0,0,0,0 
MNE,0,0,0,0 
MON,0,0,0,0 
MOZ,0,0.03125,0.000147835,0 
MRI,0,0,0,0 
MTN,0,0,0,0 
MYA,0,0,0,0 
NAM,0,0,0,0 
NBO,0,0,0,0 
NCA,0,0,0,0 
NED,15,6.770891428,0.032031231,10 
NEP,0,0,0,0 
NFL,0,0,0,0 
NGR,0,0.09375,0.000443506,0 
NIG,0,0,0,0 
NOR,4,1.90625,0.009017946,3 
NRU,0,0,0,0 
NZL,10,4.47219504,0.021156729,7 
OMA,0,0,0,0 
PAK,1,0.09375,0.000443506,0 
PAN,0,0.03125,0.000147835,0 
PAR,0,0,0,0 
PER,0,0.03125,0.000147835,0 
PHI,2,0.03125,0.000147835,0 
PLE,0,0,0,0 
PLW,0,0,0,0 
PNG,0,0,0,0 
POL,1,3.244353341,0.015348146,5 
POR,1,0.122583194,0.000579907,0 
PRK,0,0,0,0 
PUR,0,0.0625,0.00029567,0 
QAT,0,0.0625,0.00029567,0 
RHO,0,0,0,0 
ROT,0,0,0,0 
ROU,3,2.256840403,0.010676493,3 
RSA,1,0.84375,0.00399155,1 
RUS,0,0,0,0 
RWA,0,0,0,0 
SAA,0,0,0,0 
SAM,0,0,0,0 
SCG,0,0.375,0.001774022,1 
SEN,0,0,0,0 
SEY,0,0,0,0 
SGP,0,0.03125,0.000147835,0 
