NOC,Year,Predicted_Gold
AFG,2024,-0.006695833479308133
AHO,2024,0.007469919272972136
ALB,2024,0.08149504878294755
ALG,2024,0.558797424148824
AND,2024,-0.0018665502935830691
ANG,2024,0.1420979112478864
ANT,2024,0.047319881274342945
ARG,2024,2.035025539000962
ARM,2024,0.622560596886272
ARU,2024,0.007989909605586432
ASA,2024,0.03464999111077094
AUS,2024,13.731265652146277
AUT,2024,1.3344910557875507
AZE,2024,1.1745289143199462
BAH,2024,1.1425903427296116
BAN,2024,0.05202153701336054
BAR,2024,0.031460372405635484
BDI,2024,0.05176610594290021
BEL,2024,2.7792905202958362
BEN,2024,0.04497850737859399
BER,2024,0.44546924332389115
BHU,2024,0.024321474842947888
BIH,2024,0.0853005257486188
BIZ,2024,-0.012667122930059671
BLR,2024,2.3108481777665504
BOH,2024,0.38211464338708234
BOL,2024,0.04831192797561079
BOT,2024,0.22528065276840814
BRA,2024,7.612695466030898
BRN,2024,0.348909277287915
BRU,2024,-0.012667122930059671
BUL,2024,2.075467018498062
BUR,2024,0.07625804969883876
CAF,2024,0.004704422972529931
CAM,2024,0.004704422972529931
CAN,2024,6.933188541433818
CAY,2024,0.017798435540795188
CGO,2024,0.021603912506465983
CHA,2024,0.00042688963820558534
CHI,2024,0.6476518616181044
CHN,2024,28.253925110316338
CIV,2024,0.31615786957147374
CMR,2024,0.13116971116470144
COD,2024,0.03464999111077094
COK,2024,0.05859251027947354
COL,2024,1.827328687431691
COM,2024,-0.00938163629700317
CPV,2024,0.06183006294856974
CRC,2024,0.1527546819924812
CRO,2024,2.9803949730460153
CUB,2024,5.007131809439269
CYP,2024,0.28164024285901856
CZE,2024,3.5848070226306215
DEN,2024,3.272371444507702
DJI,2024,0.02765489543996469
DMA,2024,-0.039847194767858474
DOM,2024,0.5378856580490814
ECU,2024,1.3275850834746676
EGY,2024,1.9645808807514638
ERI,2024,0.037039298970480194
ESA,2024,0.06563553991424009
ESP,2024,5.97178829729091
EST,2024,1.0117645490130107
ETH,2024,1.0834391759017545
FIJ,2024,0.870197377009053
FIN,2024,0.7327248028462741
FRA,2024,18.076343128887196
FRG,2024,12.153760153968932
FSM,2024,-0.0023386066622366197
GAB,2024,0.1845687729536869
GAM,2024,0.014512948907738688
GBR,2024,19.41403133546287
GBS,2024,0.017798435540795188
GDR,2024,30.504933230777297
GEO,2024,1.8917517817884344
GEQ,2024,-0.022995639197882722
GER,2024,12.814639962489737
GHA,2024,0.11662800203282386
GRE,2024,2.0910480899771744
GRN,2024,0.03291510395791186
GUA,2024,0.3903605302102131
GUI,2024,0.03793547774382744
GUM,2024,0.03793547774382744
GUY,2024,0.04074890800823039
HAI,2024,0.0895301251189824
HKG,2024,0.9070397964639357
HON,2024,0.1322414513487169
HUN,2024,5.760864096158198
INA,2024,1.1614329264072007
IND,2024,1.4909649456089777
IOA,2024,0.46313478274325637
IRI,2024,3.1369288227794447
IRL,2024,1.6252871776186453
IRQ,2024,0.07459582104006279
ISL,2024,0.05112535824001374
ISR,2024,1.4960500370855176
