NOC,Total,Prdicted_Total,Gold,Predict_Toal,,,,,
AFG,0,0 ,0,0 ,,,,,
AHO,0,0 ,0,0 ,,,,,
ALB,2,0 ,0,0 ,,,,,
ALG,3,2 ,2,0 ,,,,,
AND,0,0 ,0,0 ,,,,,
ANG,0,1 ,0,0 ,,,,,
ANT,0,0 ,0,0 ,,,,,
ARG,3,7 ,1,2 ,,,,,
ARM,4,3 ,0,1 ,,,,,
ARU,0,0 ,0,0 ,,,,,
ASA,0,0 ,0,0 ,,,,,
AUS,53,38 ,18,12 ,,,,,
AUT,5,5 ,2,1 ,,,,,
AZE,7,6 ,2,1 ,,,,,
BAH,0,2 ,0,1 ,,,,,
BAN,0,0 ,0,0 ,,,,,
BAR,0,0 ,0,0 ,,,,,
BDI,0,0 ,0,0 ,,,,,
BEL,10,7 ,3,2 ,,,,,
BEN,0,0 ,0,0 ,,,,,
BER,0,1 ,0,0 ,,,,,
BHU,0,0 ,0,0 ,,,,,
BIH,0,0 ,0,0 ,,,,,
BIZ,0,0 ,0,0 ,,,,,
BLR,0,7 ,0,2 ,,,,,
BOH,0,1 ,0,0 ,,,,,
BOL,0,0 ,0,0 ,,,,,
BOT,2,1 ,1,0 ,,,,,
BRA,20,22 ,3,6 ,,,,,
BRN,4,1 ,2,0 ,,,,,
BRU,0,0 ,0,0 ,,,,,
BUL,7,5 ,3,2 ,,,,,
BUR,0,1 ,0,0 ,,,,,
CAF,0,0 ,0,0 ,,,,,
CAM,0,0 ,0,0 ,,,,,
CAN,27,21 ,9,6 ,,,,,
CAY,0,0 ,0,0 ,,,,,
CGO,0,0 ,0,0 ,,,,,
CHA,0,0 ,0,0 ,,,,,
CHI,2,1 ,1,1 ,,,,,
CHN,91,63 ,40,24 ,,,,,
CIV,1,1 ,0,0 ,,,,,
CMR,0,0 ,0,0 ,,,,,
COD,0,0 ,0,0 ,,,,,
COK,0,0 ,0,0 ,,,,,
COL,4,6 ,0,2 ,,,,,
COM,0,0 ,0,0 ,,,,,
CPV,1,0 ,0,0 ,,,,,
CRC,0,0 ,0,0 ,,,,,
CRO,7,7 ,2,3 ,,,,,
CUB,9,12 ,2,4 ,,,,,
CYP,1,1 ,0,0 ,,,,,
CZE,5,9 ,3,3 ,,,,,
DEN,9,10 ,2,3 ,,,,,
DJI,0,0 ,0,0 ,,,,,
DMA,1,0 ,1,0 ,,,,,
DOM,3,3 ,1,0 ,,,,,
ECU,5,3 ,1,1 ,,,,,
EGY,3,6 ,1,2 ,,,,,
ERI,0,0 ,0,0 ,,,,,
ESA,0,0 ,0,0 ,,,,,
ESP,18,17 ,5,5 ,,,,,
EST,0,2 ,0,1 ,,,,,
ETH,4,3 ,1,1 ,,,,,
FIJ,1,2 ,0,1 ,,,,,
FIN,0,3 ,0,1 ,,,,,
FRA,64,44 ,16,15 ,,,,,
FRG,0,35 ,0,10 ,,,,,
FSM,0,0 ,0,0 ,,,,,
GAB,0,0 ,0,0 ,,,,,
GAM,0,0 ,0,0 ,,,,,
GBR,65,49 ,14,17 ,,,,,
GBS,0,0 ,0,0 ,,,,,
GDR,0,72 ,0,26 ,,,,,
GEO,7,5 ,3,2 ,,,,,
GEQ,0,0 ,0,0 ,,,,,
GER,33,34 ,12,11 ,,,,,
GHA,0,1 ,0,0 ,,,,,
GRE,8,5 ,1,2 ,,,,,
GRN,2,1 ,0,0 ,,,,,
GUA,2,1 ,1,0 ,,,,,
GUI,0,0 ,0,0 ,,,,,
GUM,0,0 ,0,0 ,,,,,
GUY,0,0 ,0,0 ,,,,,
HAI,0,0 ,0,0 ,,,,,
HKG,4,3 ,2,1 ,,,,,
HON,0,1 ,0,0 ,,,,,
HUN,19,15 ,6,5 ,,,,,
INA,3,4 ,2,1 ,,,,,
IND,6,6 ,0,1 ,,,,,
IOA,0,1 ,0,0 ,,,,,
IRI,12,7 ,3,3 ,,,,,
IRL,7,5 ,4,1 ,,,,,
IRQ,0,0 ,0,0 ,,,,,
ISL,0,0 ,0,0 ,,,,,
ISR,7,4 ,1,1 ,,,,,
ISV,0,0 ,0,0 ,,,,,
ITA,40,30 ,12,8 ,,,,,
IVB,0,0 ,0,0 ,,,,,
JAM,6,8 ,1,3 ,,,,,
JOR,1,1 ,0,0 ,,,,,
JPN,45,44 ,20,16 ,,,,,
KAZ,7,8 ,1,1 ,,,,,
KEN,11,8 ,4,3 ,,,,,
KGZ,6,1 ,0,0 ,,,,,
KIR,0,0 ,0,0 ,,,,,
KOR,32,19 ,13,6 ,,,,,
KSA,0,1 ,0,0 ,,,,,
KUW,0,1 ,0,0 ,,,,,
LAO,0,0 ,0,0 ,,,,,
LAT,0,2 ,0,1 ,,,,,
LBA,0,0 ,0,0 ,,,,,
LBR,0,0 ,0,0 ,,,,,
LCA,2,0 ,1,0 ,,,,,
LES,0,0 ,0,0 ,,,,,
LIB,0,0 ,0,0 ,,,,,
LIE,0,0 ,0,0 ,,,,,
LTU,4,2 ,0,0 ,,,,,
LUX,0,0 ,0,0 ,,,,,
MAD,0,0 ,0,0 ,,,,,
MAR,2,2 ,1,1 ,,,,,
MAS,2,2 ,0,0 ,,,,,
MAW,0,0 ,0,0 ,,,,,
MDA,4,1 ,0,0 ,,,,,
MDV,0,0 ,0,0 ,,,,,
MEX,5,6 ,0,1 ,,,,,
MGL,1,3 ,0,1 ,,,,,
MHL,0,0 ,0,0 ,,,,,
MKD,0,0 ,0,0 ,,,,,
MLI,0,0 ,0,0 ,,,,,
MLT,0,0 ,0,0 ,,,,,
MNE,0,1 ,0,0 ,,,,,
MON,0,0 ,0,0 ,,,,,
MOZ,0,0 ,0,0 ,,,,,
MRI,0,0 ,0,0 ,,,,,
MTN,0,0 ,0,0 ,,,,,
MYA,0,0 ,0,0 ,,,,,
NAM,0,0 ,0,0 ,,,,,
