,Rank,NOC,Gold,Silver,Bronze,Total,Year
0,1,USA,11,7,2,20,1896
1,2,GRC,10,18,19,47,1896
2,3,DEU,6,5,2,13,1896
3,4,FRA,5,4,2,11,1896
4,5,GBR,2,3,2,7,1896
5,6,HUN,2,1,3,6,1896
6,7,AUT,2,1,2,5,1896
7,8,AUS,2,0,0,2,1896
8,9,DNK,1,2,3,6,1896
9,10,CHE,1,2,0,3,1896
10,11,MIX,1,0,1,2,1896
11,1,FRA,27,39,37,103,1900
12,2,USA,19,14,15,48,1900
13,3,GBR,15,7,9,31,1900
14,4,MIX,8,5,6,19,1900
15,5,BEL,6,7,4,17,1900
16,6,CHE,6,2,1,9,1900
17,7,DEU,4,3,2,9,1900
18,8,ITA,3,2,0,5,1900
19,9,AUS,2,0,3,5,1900
20,10,DNK,1,3,2,6,1900
21,11,HUN,1,2,2,5,1900
22,12,CUB,1,1,0,2,1900
23,13,CAN,1,0,1,2,1900
24,14,ESP,1,0,0,1,1900
25,14,LUX,1,0,0,1,1900
26,16,AUT,0,3,3,6,1900
27,17,NOR,0,2,3,5,1900
28,17,NLD,0,2,3,5,1900
29,19,IND,0,2,0,2,1900
30,20,BOH,0,1,1,2,1900
31,21,SWE,0,0,1,1,1900
32,1,USA,76,78,77,231,1904
33,2,DEU,4,5,6,15,1904
34,3,CAN,4,1,1,6,1904
35,4,CUB,3,0,0,3,1904
36,5,HUN,2,1,1,4,1904
37,5,MIX,2,1,1,4,1904
38,7,NOR,2,0,0,2,1904
39,8,AUT,1,1,1,3,1904
40,9,GBR,1,1,0,2,1904
41,10,CHE,1,0,2,3,1904
42,11,GRC,1,0,1,2,1904
43,12,AUS,0,3,1,4,1904
44,13,FRA,0,1,0,1,1904
45,1,GBR,56,51,39,146,1908
46,2,USA,23,12,12,47,1908
47,3,SWE,8,6,11,25,1908
48,4,FRA,5,5,9,19,1908
49,5,DEU,3,5,5,13,1908
50,6,HUN,3,4,2,9,1908
51,7,CAN,3,3,10,16,1908
52,8,NOR,2,3,3,8,1908
53,9,ITA,2,2,0,4,1908
54,10,BEL,1,5,2,8,1908
55,11,AUS,1,2,2,5,1908
56,12,RSE,1,2,0,3,1908
57,13,FIN,1,1,3,5,1908
58,14,ZAF,1,1,0,2,1908
59,15,GRC,0,3,1,4,1908
60,16,DNK,0,2,3,5,1908
61,17,BOH,0,0,2,2,1908
62,17,NLD,0,0,2,2,1908
63,19,AUT,0,0,1,1,1908
64,1,USA,26,19,19,64,1912
65,2,SWE,23,25,17,65,1912
66,3,GBR,10,15,16,41,1912
67,4,FIN,9,8,9,26,1912
68,5,FRA,7,4,3,14,1912
69,6,DEU,5,13,7,25,1912
