,Unnamed: 0,Rank,NOC,Gold,Silver,Bronze,Total,Year,Participants
0,0,1,USA,11,7,2,20,1896,16.0
1,1,2,GRC,10,18,19,47,1896,25.0
2,2,3,DEU,6,5,2,13,1896,12.0
3,3,4,FRA,5,4,2,11,1896,16.0
4,4,5,GBR,2,3,2,7,1896,8.0
5,5,6,HUN,2,1,3,6,1896,5.0
6,6,7,AUT,2,1,2,5,1896,8.0
7,7,8,AUS,2,0,0,2,1896,11.0
8,8,9,DNK,1,2,3,6,1896,5.0
9,9,10,CHE,1,2,0,3,1896,2.0
11,11,1,FRA,27,39,37,103,1900,4.0
12,12,2,USA,19,14,15,48,1900,6.0
13,13,3,GBR,15,7,9,31,1900,3.0
15,15,5,BEL,6,7,4,17,1900,7.0
16,16,6,CHE,6,2,1,9,1900,11.0
17,17,7,DEU,4,3,2,9,1900,5.0
18,18,8,ITA,3,2,0,5,1900,4.0
19,19,9,AUS,2,0,3,5,1900,5.0
20,20,10,DNK,1,3,2,6,1900,2.0
21,21,11,HUN,1,2,2,5,1900,4.0
22,22,12,CUB,1,1,0,2,1900,13.0
23,23,13,CAN,1,0,1,2,1900,4.0
24,24,14,ESP,1,0,0,1,1900,4.0
25,25,14,LUX,1,0,0,1,1900,7.0
26,26,16,AUT,0,3,3,6,1900,8.0
27,27,17,NOR,0,2,3,5,1900,3.0
28,28,17,NLD,0,2,3,5,1900,4.0
29,29,19,IND,0,2,0,2,1900,46.0
31,31,21,SWE,0,0,1,1,1900,9.0
32,32,1,USA,76,78,77,231,1904,9.0
33,33,2,DEU,4,5,6,15,1904,5.0
34,34,3,CAN,4,1,1,6,1904,7.0
35,35,4,CUB,3,0,0,3,1904,12.0
36,36,5,HUN,2,1,1,4,1904,10.0
38,38,7,NOR,2,0,0,2,1904,10.0
39,39,8,AUT,1,1,1,3,1904,9.0
40,40,9,GBR,1,1,0,2,1904,7.0
41,41,10,CHE,1,0,2,3,1904,9.0
42,42,11,GRC,1,0,1,2,1904,7.0
43,43,12,AUS,0,3,1,4,1904,63.0
44,44,13,FRA,0,1,0,1,1904,33.0
45,45,1,GBR,56,51,39,146,1908,45.0
46,46,2,USA,23,12,12,47,1908,36.0
47,47,3,SWE,8,6,11,25,1908,47.0
48,48,4,FRA,5,5,9,19,1908,51.0
49,49,5,DEU,3,5,5,13,1908,71.0
50,50,6,HUN,3,4,2,9,1908,57.0
51,51,7,CAN,3,3,10,16,1908,39.0
52,52,8,NOR,2,3,3,8,1908,74.0
53,53,9,ITA,2,2,0,4,1908,45.0
54,54,10,BEL,1,5,2,8,1908,55.0
55,55,11,AUS,1,2,2,5,1908,3.0
56,56,12,RUS,1,2,0,3,1908,2.0
57,57,13,FIN,1,1,3,5,1908,2.0
58,58,14,ZAF,1,1,0,2,1908,4.0
59,59,15,GRC,0,3,1,4,1908,8.0
60,60,16,DNK,0,2,3,5,1908,8.0
62,62,17,NLD,0,0,2,2,1908,6.0
63,63,19,AUT,0,0,1,1,1908,5.0
64,64,1,USA,26,19,19,64,1912,6.0
65,65,2,SWE,23,25,17,65,1912,4.0
66,66,3,GBR,10,15,16,41,1912,3.0
67,67,4,FIN,9,8,9,26,1912,4.0
68,68,5,FRA,7,4,3,14,1912,17.0
69,69,6,DEU,5,13,7,25,1912,33.0
70,70,7,ZAF,4,2,0,6,1912,33.0
71,71,8,NOR,3,2,5,10,1912,30.0
72,72,9,CAN,3,2,3,8,1912,30.0
73,73,9,HUN,3,2,3,8,1912,30.0
74,74,11,ITA,3,1,2,6,1912,33.0
75,75,12,AUS,2,2,3,7,1912,35.0
76,76,13,BEL,2,1,3,6,1912,26.0
77,77,14,DNK,1,6,5,12,1912,20.0
78,78,15,GRC,1,0,1,2,1912,26.0
79,79,16,RUS,0,2,3,5,1912,17.0
80,80,17,AUT,0,2,2,4,1912,27.0
81,81,18,NLD,0,0,3,3,1912,25.0
82,82,1,USA,41,27,27,95,1920,18.0
83,83,2,SWE,19,20,25,64,1920,19.0
84,84,3,FIN,15,10,9,34,1920,4.0
85,85,4,GBR,14,15,13,42,1920,5.0
86,86,5,BEL,14,11,11,36,1920,5.0
87,87,6,NOR,13,9,9,31,1920,4.0
88,88,7,ITA,13,5,5,23,1920,9.0
89,89,8,FRA,9,19,13,41,1920,6.0
90,90,9,NLD,4,2,5,11,1920,5.0
91,91,10,DNK,3,9,1,13,1920,48.0
92,92,11,ZAF,3,4,3,10,1920,38.0
